752
1 3724 2143 2068 -1
1 3724 2068 2140 1
1 3719 2140 2068 -1
1 3719 2066 2140 1
1 3720 2140 2066 -1
1 3720 2067 2140 1
1 3721 2140 2067 -1
1 3721 2067 2141 1
1 3722 2141 2067 -1
1 3722 2067 2142 1
1 3723 2142 2067 -1
1 3723 2138 2142 1
1 3838 2142 2138 -1
1 3838 2138 2211 1
1 3839 2211 2138 -1
1 3839 2144 2211 1
1 3849 2211 2144 -1
1 3849 2145 2211 1
1 3850 2211 2145 -1
1 3850 2145 2217 1
1 3851 2217 2145 -1
1 3851 2146 2217 1
1 3852 2217 2146 -1
1 3852 2146 2218 1
1 3853 2218 2146 -1
1 3853 2147 2218 1
1 3854 2218 2147 -1
1 3854 2147 2148 1
1 3733 2148 2147 -1
1 3733 2073 2148 1
1 3734 2148 2073 -1
1 3734 2074 2148 1
1 3735 2148 2074 -1
1 3735 2074 2149 1
1 3736 2149 2074 -1
1 3736 2075 2149 1
1 3737 2149 2075 -1
1 3737 2075 2150 1
1 3738 2150 2075 -1
1 3738 2076 2150 1
1 3739 2150 2076 -1
1 3739 2076 2077 1
1 3614 2077 2076 -1
1 3614 2002 2077 1
1 3615 2077 2002 -1
1 3615 2078 2077 1
1 3742 2077 2078 -1
1 3742 2078 2152 1
2 11303 6801 6704 -1
2 11303 6704 6800 1
2 11304 6800 6704 -1
2 11304 6797 6800 1
2 11431 6800 6797 -1
2 11431 6883 6800 1
2 11441 6800 6883 -1
2 11441 6883 6889 1
2 11558 6889 6883 -1
2 11558 6964 6889 1
2 11571 6889 6964 -1
2 11571 6964 6971 1
3 15728 9655 9553 -1
3 15728 9551 9655 1
3 15729 9655 9551 -1
3 15729 9551 9656 1
3 15730 9656 9551 -1
3 15730 9551 9657 1
3 15731 9657 9551 -1
3 15731 9658 9657 1
4 19123 11813 11821 -1
4 19123 11821 11812 1
4 19009 11812 11821 -1
4 19009 11734 11812 1
4 18993 11812 11734 -1
4 18993 11734 11728 1
4 18883 11728 11734 -1
4 18883 11734 11646 1
4 18882 11646 11734 -1
4 18882 11733 11646 1
4 18881 11646 11733 -1
4 18881 11647 11646 1
4 18751 11646 11647 -1
4 18751 11647 11551 1
5 20275 12606 12692 -1
5 20275 12688 12606 1
5 20270 12606 12688 -1
5 20270 12688 12603 1
5 20269 12603 12688 -1
5 20269 12602 12603 1
5 20147 12603 12602 -1
5 20147 12602 12510 1
5 20146 12510 12602 -1
5 20146 12509 12510 1
5 20016 12510 12509 -1
5 20016 12509 12416 1
5 20015 12416 12509 -1
5 20015 12509 12415 1
5 20014 12415 12509 -1
5 20014 12508 12415 1
5 20013 12415 12508 -1
5 20013 12508 12414 1
5 20012 12414 12508 -1
5 20012 12507 12414 1
5 20011 12414 12507 -1
5 20011 12507 12413 1
5 20010 12413 12507 -1
5 20010 12417 12413 1
5 19881 12413 12417 -1
5 19881 12417 12317 1
6 20032 12424 12521 -1
6 20032 12521 12520 1
6 20158 12520 12521 -1
6 20158 12609 12520 1
6 20157 12520 12609 -1
6 20157 12608 12520 1
6 20156 12520 12608 -1
6 20156 12608 12607 1
6 20276 12607 12608 -1
6 20276 12693 12607 1
7 17306 10581 10687 -1
7 17306 10686 10581 1
7 17305 10581 10686 -1
7 17305 10686 10580 1
7 17304 10580 10686 -1
7 17304 10685 10580 1
7 17303 10580 10685 -1
7 17303 10685 10579 1
7 17302 10579 10685 -1
7 17302 10684 10579 1
7 17301 10579 10684 -1
7 17301 10684 10578 1
7 17300 10578 10684 -1
